dt,AAPL,MSFT,TSLA,MCD,BK
2017-10-02 14:46:00+00:00,59881.0,29393.0,6187.0,2589.0,1800.0
2017-10-02 14:47:00+00:00,21840.0,49334.0,6818.0,3773.0,1700.0
2017-10-02 14:48:00+00:00,37763.0,44696.0,16702.0,2883.0,800.0
2017-10-02 14:49:00+00:00,15345.0,25655.0,7575.0,4439.0,1000.0
2017-10-02 14:50:00+00:00,26221.0,14093.0,6267.0,1200.0,2700.0
2017-10-02 14:51:00+00:00,32489.0,14419.0,8780.0,3900.0,1313.0
2017-10-02 14:52:00+00:00,21757.0,14409.0,8543.0,2018.0,2649.0
2017-10-02 14:53:00+00:00,29214.0,16080.0,6400.0,2300.0,6390.0
2017-10-02 14:54:00+00:00,17233.0,11177.0,3671.0,775.0,900.0
2017-10-02 14:55:00+00:00,15336.0,11532.0,10400.0,4600.0,1000.0
2017-10-02 14:56:00+00:00,13040.0,17190.0,5503.0,1218.0,2330.0
2017-10-02 14:57:00+00:00,15614.0,19333.0,1474.0,3600.0,2805.0
2017-10-02 14:58:00+00:00,44101.0,16698.0,3356.0,2084.0,8776.0
2017-10-02 14:59:00+00:00,23630.0,29486.0,3616.0,2400.0,700.0
2017-10-02 15:00:00+00:00,17579.0,15259.0,5453.0,8345.0,632.0
2017-10-02 15:01:00+00:00,18676.0,16505.0,3027.0,3117.0,1168.0
2017-10-02 15:02:00+00:00,9745.0,16883.0,2606.0,1200.0,1300.0
2017-10-02 15:03:00+00:00,19114.0,20895.0,8060.0,3772.0,2400.0
2017-10-02 15:04:00+00:00,28349.0,22777.0,3999.0,1816.0,4898.0
2017-10-02 15:05:00+00:00,61710.0,18329.0,5560.0,3649.0,800.0
2017-10-02 15:06:00+00:00,20454.0,54187.0,21972.0,1183.0,2414.0
2017-10-02 15:07:00+00:00,32722.0,23154.0,1524.0,1446.0,950.0
2017-10-02 15:08:00+00:00,20222.0,13817.0,5003.0,3600.0,1400.0
2017-10-02 15:09:00+00:00,22553.0,12231.0,2636.0,3617.0,900.0
2017-10-02 15:10:00+00:00,27190.0,14377.0,1392.0,2766.0,9798.0
2017-10-02 15:11:00+00:00,23016.0,14916.0,4207.0,4879.0,700.0
2017-10-02 15:12:00+00:00,18616.0,35248.0,8011.0,900.0,6562.0
2017-10-02 15:13:00+00:00,43782.0,36497.0,20164.0,5025.0,2400.0
2017-10-02 15:14:00+00:00,13772.0,17406.0,5064.0,2781.0,4235.0
2017-10-02 15:15:00+00:00,15124.0,28322.0,2522.0,1295.0,2503.0
2017-10-02 15:16:00+00:00,27149.0,18904.0,5803.0,2730.0,1500.0
2017-10-02 15:17:00+00:00,24018.0,33026.0,9496.0,2223.0,3757.0
2017-10-02 15:18:00+00:00,28320.0,16375.0,5805.0,900.0,3500.0
2017-10-02 15:19:00+00:00,38593.0,12652.0,4940.0,2397.0,4741.0
2017-10-02 15:20:00+00:00,27046.0,36734.0,5725.0,1515.0,1306.0
2017-10-02 15:21:00+00:00,23210.0,8695.0,12576.0,2603.0,2700.0
2017-10-02 15:22:00+00:00,30838.0,6939.0,4542.0,3785.0,2400.0
2017-10-02 15:23:00+00:00,40256.0,20340.0,3901.0,2202.0,5300.0
2017-10-02 15:24:00+00:00,23936.0,41736.0,4258.0,2879.0,5514.0
2017-10-02 15:25:00+00:00,25173.0,22845.0,5549.0,3600.0,600.0
2017-10-02 15:26:00+00:00,34461.0,35274.0,8039.0,3501.0,13508.0
2017-10-02 15:27:00+00:00,31801.0,31762.0,5520.0,1800.0,4441.0
2017-10-02 15:28:00+00:00,18542.0,11061.0,5700.0,3312.0,5115.0
2017-10-02 15:29:00+00:00,31979.0,30707.0,24380.0,2000.0,100.0
2017-10-02 15:30:00+00:00,29712.0,48508.0,13432.0,2618.0,1687.0
2017-10-02 15:31:00+00:00,39987.0,41822.0,11428.0,6819.0,1126.0
2017-10-02 15:32:00+00:00,37913.0,59368.0,12071.0,4199.0,3939.0
2017-10-02 15:33:00+00:00,46701.0,34887.0,10075.0,1041.0,3400.0
2017-10-02 15:34:00+00:00,20653.0,12159.0,8788.0,1183.0,3500.0
2017-10-02 15:35:00+00:00,54848.0,36281.0,10893.0,4053.0,4513.0
2017-10-02 15:36:00+00:00,39611.0,133090.0,11466.0,2649.0,2300.0
2017-10-02 15:37:00+00:00,26643.0,26965.0,3705.0,2254.0,1200.0
2017-10-02 15:38:00+00:00,51470.0,21438.0,11676.0,2173.0,1100.0
2017-10-02 15:39:00+00:00,23929.0,15073.0,10480.0,2883.0,1100.0
2017-10-02 15:40:00+00:00,81560.0,36555.0,7140.0,1200.0,1100.0
2017-10-02 15:41:00+00:00,26769.0,15491.0,5326.0,1500.0,1000.0
